,S042_Fm,S042_F,S042_h,S042_T,S042_P,B002_Fm,B002_F,B002_h,B002_T,B002_P,G012_Fm,G012_F,G012_T,G012_P,G012_F[O2],G012_F[NO],G012_F[N2],G012_F[SO2],G012_F[CO2],G012_F[H2O],G013_Fm,G013_F,G013_T,G013_P,G013_F[O2],G013_F[NO],G013_F[N2],G013_F[SO2],G013_F[CO2],G013_F[H2O],ECON_Q,termination,bin_no,bin_power
10,405.05660481724334,22484.05824484789,14884.030823018922,464.82119025554266,24828788.405958127,405.05660481724334,22484.05824484789,19556.235644414755,522.7718462211612,24224677.128981978,453.0047581141092,15286.564751703849,700.8139496943206,100568.36381322671,377.578149367085,9.171938851022308,11325.81582453738,30.573129503407692,2215.0232325218876,1328.4024769230641,453.0047581141092,15286.564751703849,493.84198618976484,99681.07487827161,377.578149367085,9.171938851022308,11325.81582453738,30.573129503407692,2215.0232325218876,1328.4024769230641,105050125.33602989,optimal,23.0,567500000.0
11,402.7538080498107,22356.23360002235,14894.898997324339,464.9601411521078,24826921.728538994,402.7538080498107,22356.23360002235,19650.637115794052,523.8985890192149,24226411.458147883,459.93734103284055,15520.503525603097,703.7571171880714,99581.3804397053,383.3564370823966,9.31230211536186,11499.141062119335,31.0410070512062,2248.920960859889,1348.731756374909,459.93734103284055,15520.503525603097,497.6334905078469,99277.59263397132,383.3564370823966,9.31230211536186,11499.141062119335,31.0410070512062,2248.920960859889,1348.731756374909,106320392.31703977,optimal,23.0,567500000.0
12,428.0959026506925,23762.93361250519,15183.157530713506,468.63404641367356,24827370.840570156,428.0959026506925,23762.93361250519,19898.57096859626,526.8484014340818,24225778.249540314,461.189786035528,15562.767058796955,701.1659355517302,100780.51085111804,384.4003463522848,9.337660235278172,11530.454113862665,31.12553411759391,2255.044946819679,1352.4044574094553,461.189786035528,15562.767058796955,484.0352055984656,99780.16367222197,384.4003463522848,9.337660235278172,11530.454113862665,31.12553411759391,2255.044946819679,1352.4044574094553,112052056.47992279,optimal,23.0,567500000.0
13,397.93367401427383,22088.67550292162,15846.286764262442,477.0428347980936,24826488.980492227,397.93367401427383,22088.67550292162,20678.29708806788,536.0304997894922,24226134.253070872,457.68778585986814,15444.592687586006,699.3576935948691,100007.36979469818,381.4814393833744,9.266755612551602,11442.898722232472,30.889185375172012,2237.9214804312123,1342.1351045512238,457.68778585986814,15444.592687586006,491.1008554870025,100188.75023902036,381.4814393833744,9.266755612551602,11442.898722232472,30.889185375172012,2237.9214804312123,1342.1351045512238,106732708.0692069,optimal,23.0,567500000.0
14,404.0294595636054,22427.043019237302,14969.555898587252,465.91281849256757,24826082.890259746,404.0294595636054,22427.043019237302,19904.61578336048,526.9201726330372,24224718.429681648,455.4330196998699,15368.506005741303,705.4145231403741,99750.11657257457,379.60209834181023,9.221103603444782,11386.52609965373,30.737012011482605,2226.896520231915,1335.5231718989191,455.4330196998699,15368.506005741303,488.4970103516844,100843.96479615534,379.60209834181023,9.221103603444782,11386.52609965373,30.737012011482605,2226.896520231915,1335.5231718989191,110678800.3383215,optimal,23.0,567500000.0
15,421.9624562327782,23422.475600311413,15733.772964113356,475.62074974813976,24824154.76940204,421.9624562327782,23422.475600311413,20193.209703493638,530.335332568733,24224825.21092179,464.8723289561779,15687.033812730837,695.9949495349837,99864.56808120752,387.4697351744517,9.412220287638501,11622.523351852276,31.374067625461674,2273.051199464698,1363.2032383263095,464.8723289561779,15687.033812730837,495.3621828280672,100621.18921871891,387.4697351744517,9.412220287638501,11622.523351852276,31.374067625461674,2273.051199464698,1363.2032383263095,104451048.21926689,optimal,23.0,567500000.0
16,422.1059063453674,23430.438291570674,15301.827208407549,470.14334785842317,24826992.234846752,422.1059063453674,23430.438291570674,20077.910868281506,528.9732554473429,24225232.42046784,458.091599662856,15458.219312332078,708.792419652669,99264.01657698279,381.8180170146024,9.274931587399246,11452.994688506835,30.916438624664156,2239.895978356918,1343.3192582416575,458.091599662856,15458.219312332078,490.91964166516277,99645.68033206818,381.8180170146024,9.274931587399246,11452.994688506835,30.916438624664156,2239.895978356918,1343.3192582416575,111905733.46805578,optimal,23.0,567500000.0
17,407.5684362096396,22623.486074578886,15164.037424657254,468.3908914817139,24825646.936350543,407.5684362096396,22623.486074578886,19856.07465737046,526.3437710227706,24226866.323741492,458.26333845680745,15464.014607297737,700.6580086860209,99737.80032628651,381.96116080025416,9.278408764378643,11457.288422546893,30.928029214595476,2240.735716597442,1343.8228693741733,458.26333845680745,15464.014607297737,493.9160074558505,99829.99500077993,381.96116080025416,9.278408764378643,11457.288422546893,30.928029214595476,2240.735716597442,1343.8228693741733,106150238.99554437,optimal,23.0,567500000.0
18,393.974006241854,21868.88054150998,15105.54664012912,467.6461745677621,24825423.027448207,393.974006241854,21868.88054150998,19862.710444114,526.4226326932476,24225435.78212272,456.51107877451733,15404.884916901896,694.3311047671622,100708.15720686289,380.5006574474769,9.242930950141139,11413.479234932614,30.809769833803795,2232.167824459085,1338.6844992787746,456.51107877451733,15404.884916901896,490.65987383327786,99072.88134912757,380.5006574474769,9.242930950141139,11413.479234932614,30.809769833803795,2232.167824459085,1338.6844992787746,104033846.94572115,optimal,23.0,567500000.0
19,421.2042368868195,23380.388030983668,15426.623596025556,471.7284646512508,24826872.675521962,421.2042368868195,23380.388030983668,20092.552906271958,529.1464157836854,24224650.289446265,450.22052409828916,15192.611271515436,706.1392703178335,100328.17717911523,375.2574984064313,9.115566762909259,11256.205691065787,30.38522254303087,2201.4093732425863,1320.237919494691,450.22052409828916,15192.611271515436,489.9223051245974,100691.07865465803,375.2574984064313,9.115566762909259,11256.205691065787,30.38522254303087,2201.4093732425863,1320.237919494691,109091237.79869932,optimal,23.0,567500000.0
