,st_power (MW),gt_power (MW),gross_power (MW),net_power (MW),lhv_efficiency (%),combustor_temperature (K),fuel_flow (kg/s),st_throttle_delta_pressure (bar),st_condenser_pressure (bar),st_throttle_inlet_temperature (K),st_throttle_outlet_temperature (K),fuel_cost_rate (USD/hr),other_variable_cost_rate (USD/hr),total_variable_cost_rate (USD/hr)
535.0,192.60849199581867,383.2962472108727,575.9047392066914,535.0,51.196047682714386,1618.386357659287,22.139884377322506,-21.840532640556564,0.08246612343963411,860.3718464007036,852.7713500047299,17463.299240121174,3108.467264741569,20571.766504862742
530.0,191.6023951112723,379.0638227150444,570.6662178263167,530.0,51.114809070211656,1617.202069520873,21.967828430891824,-22.580410005453473,0.08201371580020811,860.4741285933488,852.6137779660994,17327.58649531394,3084.3103961658812,20411.89689147982
525.0,190.59481955314473,374.83290694864394,565.4277265017887,525.0,51.03214017156039,1616.0038746797177,21.795835562724143,-23.320657896115108,0.0815631676031226,860.5777471046612,852.4572898500294,17191.923504812712,3060.1623838566625,20252.085888669375
520.0,189.5857360975021,370.6035319461004,560.1892680436024,520.0,50.94800029377126,1614.7915446908771,21.623908865936915,-24.061317947894054,0.0811144440695121,860.6827299892859,852.3019027442044,17056.312708378915,3036.0236620914466,20092.336370470362
515.0,188.57511434015288,366.3757308788889,554.9508452190418,515.0,50.862347578534425,1613.5648465689403,21.45205140660346,-24.80243500021701,0.08066750745282089,860.7891056084011,852.1476329693196,16920.75652444233,3011.8946613507346,19932.651185793067
510.0,187.56292271442786,362.1495379419428,549.7124606563706,510.0,50.775139157235984,1612.323542803498,21.28026614029057,-25.54405721304167,0.0802223169774528,860.8969025616688,851.9944959647456,16785.2572842684,2987.7757965997744,19773.033080868172
505.0,186.54912854168356,357.92498818647255,544.4741167281561,505.0,50.6863313551382,1611.06739139015,21.108555810457705,-26.286236130135798,0.07977882884484849,861.0061496059919,851.8425061790804,16649.817151818443,2963.667453023683,19613.484604842124
500.0,185.5336981223218,353.7021172911012,539.235815413423,500.0,50.595879947595336,1609.7961458740265,20.93692282841008,-27.029026673373984,0.07933699632386979,861.1168755596965,851.6916769698431,16514.438029060144,2939.5699691727054,19454.00799823285
495.0,184.5165968752226,349.48096126449377,533.9975581397164,495.0,50.503740468316735,1608.5095554003772,20.765369135722455,-27.772487052159022,0.07889676994171504,861.2291091908834,851.5420205167536,16379.121447451416,2915.4836176463523,19294.60506509777
490.0,183.49778953275978,345.2615560752739,528.7593456080336,490.0,50.40986856564461,1607.2073647639218,20.59389605169195,-28.51667857347997,0.07845809778896991,861.342879088761,851.3935477526475,16243.868447615594,2891.4085836755758,19135.27703129117
485.0,182.4772403969795,341.04393720898014,523.5211776059597,485.0,50.314220397601396,1605.8893144454075,20.42250411039542,-29.26166534171725,0.07802092594721907,861.4582135169633,851.2462683149936,16108.679450817022,2867.3449422454296,18976.024393062453
480.0,181.4549136596554,336.8281391573819,518.2830528170373,480.0,50.216753050229435,1604.5551406205423,20.25119289423524,-30.007513843452227,0.0775851990395252,861.5751402480194,851.1001905189987,15973.554127666797,2843.29263472469,18816.846762391488
475.0,180.43077378466975,332.61419485242095,513.0449686370907,475.0,50.11742495696942,1603.2045751236535,20.079960873238022,-30.75429242165163,0.07715086089268595,861.693686378404,850.955321350228,15838.491271366247,2819.2514463031916,18657.74271766944
470.0,179.40478594575438,328.4021350651033,507.8069210108577,470.0,50.01619629017501,1601.8373453463187,19.908805261547045,-31.502070655307143,0.07671785528615395,861.8138781237178,850.8116664706522,15703.488684512315,2795.220985843192,18498.709670355507
465.0,178.376916505853,324.191987798119,502.568904303972,465.0,49.91302929048948,1600.4531740511557,19.737721904070828,-32.250918674599966,0.07628612674637329,861.935740593827,850.6692302271767,15568.543089689247,2771.2006699646854,18339.74375965393
460.0,177.34713351745776,319.9837777084171,497.3309112258749,460.0,49.80788849691976,1599.051779082636,19.566705206680457,-33.00090645595072,0.07585562132956464,862.0592975478445,850.5280156465902,15433.650074410252,2747.1897132450244,18180.839787655277
455.0,176.31540721649827,315.7775256013915,492.0929328178898,455.0,49.70074084149029,1597.6328729617358,19.395748122183342,-33.7521031542559,0.07542628732275236,862.1845711289934,850.3880243962567,15298.804080054031,2723.187126249617,18021.991206303646
450.0,175.28171047741378,311.5732480397182,486.85495851713205,450.0,49.59155557841783,1596.1961623588163,19.224842201227247,-34.50457653794177,0.07499807578577031,862.3115815795898,850.2492566869137,15163.99844201638,2699.1917226789155,17863.190164695297
445.0,174.24601919487722,307.37095710607036,481.61697630094767,445.0,49.480304029419166,1594.7413474493878,19.053977712201164,-35.25839259343468,0.0745709408592585,862.4403469366544,850.1117110937475,15029.225484284529,2675.202136202646,17704.427620487175
440.0,173.20831255956242,303.1706603492143,476.37897290877675,440.0,49.366959143573865,1593.268121169102,18.88314382742071,-36.013615356656125,0.07414483977778695,862.5708827093808,849.9753842757177,14894.476666294804,2651.216846600475,17545.69351289528
435.0,172.1685732016053,298.9723609275977,471.14093412920306,435.0,49.25149489050064,1591.7761683961148,18.71232886515448,-36.77030700922402,0.07371973255392165,862.7032015408373,849.8402705813735,14759.74277383597,2627.2342137428022,17386.97698757877
430.0,171.1322520394824,294.7700853500261,465.9023373895085,430.0,49.13534327034892,1590.2647134403305,18.540970481065106,-37.533217523516385,0.07328984970686045,862.831990513134,849.6991182125278,14624.580245990002,2603.1752837862205,17227.755529776223
425.0,170.10687197383626,290.5555892075441,460.66246118138037,425.0,49.020558432298714,1588.7326816351708,18.368287869611148,-38.30870569485304,0.07284736277122483,862.9495536085428,849.5415811934686,14488.373205971542,2578.9304306629347,17067.303636634475
420.0,169.0793901242568,286.3431125578329,455.42250268208966,420.0,48.90366525596054,1587.1807311075447,18.19557908016145,-39.08556569831813,0.07240595005454056,863.0683806723862,849.3847173344147,14352.145517508614,2554.681902116533,16906.827419625148
415.0,168.04975766350913,282.13269876140924,450.18245642491837,415.0,48.78461263917957,1585.608499206518,18.022840411557628,-39.863838389267684,0.0719655938436366,863.1884959355676,849.2285394126335,14215.894261234731,2530.4291784997818,16746.32343973451
410.0,167.01792403458853,277.9243928425576,444.9423168771461,410.0,48.66334743625772,1584.0156141620048,17.850068142854557,-40.64356576771153,0.07152627620953472,863.3099243511234,849.0730606038614,14079.616502176208,2506.171737387365,16585.78823956357
405.0,165.98383684375463,273.7182416084046,439.7020784521592,405.0,48.5398143184351,1582.4016947634434,17.677258545501722,-41.42479112451364,0.07108797888413163,863.4326916282262,848.9182944674639,13943.309299360439,2481.9090552861576,16425.218354646597
400.0,164.94744173417683,269.51429378471295,434.4617355188898,400.0,48.413955632435886,1580.7663500351368,17.504407893307306,-42.2075591887702,0.07065068314344919,863.5568242673667,848.7642549323654,13806.969713675291,2457.6406090342016,16264.610322709494
395.0,163.90868225465198,265.312600152781,429.22128240743297,395.0,48.28571125973558,1579.1091789026955,17.33151246914531,-42.99191627832678,0.07021436969307514,863.6823495972002,848.6109562835666,13670.594813159494,2433.36587674239,16103.960689901884
390.0,162.86749972452316,261.11321368578285,423.98071341030595,390.0,48.15501847737106,1577.4297698496498,17.158568568070514,-43.77791045065135,0.06977901855912132,863.809295813142,848.4584131503517,13534.181675459615,2409.084338231811,15943.266013691426
385.0,161.82383309584048,256.916189683436,418.74002277927644,385.0,48.0218118206676,1575.7277005630367,16.985572496676177,-44.565591651530234,0.06934460898761835,863.9376920177567,848.306640497182,13397.727387323444,2384.7954749435726,15782.522862267017
380.0,160.777595173788,252.72161089008264,413.49920606387064,380.0,47.88602001151317,1574.002547918519,16.812521599605617,-45.35500315067018,0.06891113298587496,864.0675673563355,848.1556558384381,13261.229854282576,2360.4989140622984,15621.728768344874
375.0,159.7287662402023,248.52948852132778,408.2582547615301,375.0,47.747577444584074,1572.2538466912383,16.63941016370552,-46.14621621393952,0.06847854112298081,864.1989546476752,848.0054704256459,13124.684569967227,2336.193853454166,15460.878423421393
370.0,158.67725443506708,244.33990980431386,403.0171642393809,370.0,47.60640680436178,1570.4811497890994,16.46623548603806,-46.939278879341266,0.06804682305200203,864.3318851099242,847.8561023655562,12988.089402378364,2311.879913623349,15299.969316001712
365.0,157.622987828865,240.1529406395262,397.7759284683912,365.0,47.462430310060874,1568.6839878863882,16.29299384152777,-47.734250030310605,0.06761595412501391,864.4663919181696,847.7075679527875,12851.441413284407,2287.5565715646244,15138.997984849031
360.0,156.56589141127728,235.96864989062064,392.53454130189795,360.0,47.31556675989074,1566.8618788567637,16.119681462916088,-48.531191100942245,0.06718590858877017,864.6025093878688,847.5598838351502,12714.73763118096,2263.223298350211,14977.960929531171
355.0,155.50588694190614,231.78710950958268,387.2929964514888,355.0,47.165731385696716,1565.0143273096458,15.94629452297396,-49.33016619304451,0.0667566595532907,864.7402730287856,847.4130670310147,12577.975037260654,2238.879556632396,14816.854593893051
350.0,154.44289279656078,227.60839466501912,382.0512874615799,350.0,47.012835699192685,1563.140824099681,15.772829115720567,-50.131242191711955,0.06632817896740353,864.8797196017775,847.2671349504575,12441.150550599,2214.5247980066224,14655.675348605622
345.0,153.37682380746733,223.4325838757769,376.8094076832442,345.0,46.85678732726233,1561.240845806795,15.59928123720419,-50.934488882146006,0.06590043759831722,865.0208871785942,847.1221054193957,12304.261012994912,2190.158460313094,14494.419473308006
340.0,152.3075910957154,219.2597591521563,371.56735024787173,340.0,46.69748983384639,1559.3138541842866,15.42564676632244,-51.73997907059155,0.06547340501228037,865.163815204861,846.977996705866,12167.303173842238,2165.7799649439185,14333.083138786156
335.0,151.23510189414813,215.0900061468611,366.32510804100923,335.0,46.53484252610388,1557.3592955725626,15.25192144603756,-52.547788712346616,0.06504704955341317,865.3085445663919,846.8348275475366,12030.273675312957,2141.3887142057065,14171.662389518664
330.0,150.1592593589478,210.92341431776464,361.08267367671243,330.0,46.368740242731,1555.3766002761422,15.078100865215635,-53.35799704963869,0.06462133831812805,865.455117658971,846.6926171796052,11893.169038032462,2116.984088769778,14010.153126802239
325.0,149.07996236821762,206.76007710418457,355.8400394724022,325.0,46.19907312257563,1553.3651819014988,14.90418044117484,-54.17068676191002,0.06419623712295018,865.6035784616812,846.5513853622322,11755.985647314117,2092.565445221913,13848.55109253603
320.0,147.99710530599503,202.60009211823674,350.59719742423175,320.0,46.02572635188593,1551.3244366533304,14.730155402906208,-54.985944130717904,0.06377171046402316,865.7539726138548,846.4111524067991,11618.719739924307,2068.1321137065265,13686.851853630833
315.0,146.91057783023928,198.44356135250686,345.35413918274617,315.0,45.8485798887151,1549.2537425866483,14.556020774815652,-55.80385922112619,0.06334772146706201,865.9063474956422,846.2719392003108,11481.367391258595,2043.6833956440296,13525.050786902624
310.0,145.82026462338948,194.29059140512538,340.11085602851483,310.0,45.66750816309519,1547.152458811912,14.381771360752845,-56.62452608120399,0.06292423182684652,866.0607523121739,846.1337672273046,11343.924502744168,2019.2185614884622,13363.14306423263
305.0,144.72604512413446,190.1412937233113,334.8673388474457,305.0,45.48237975157999,1545.0199246501966,14.207401728039937,-57.44804296102659,0.06250120173567293,866.2172381811708,845.9966585886331,11206.386789242171,1994.7368484851065,13201.123637727278
300.0,143.62779323912403,185.99578486617847,329.6235781053025,300.0,45.29305702470444,1542.8554587349472,14.032906191169822,-58.27451255275348,0.062078589800153364,866.3758582238895,845.8606360163893,11068.749766189347,1970.2374583817036,13038.98722457105
295.0,142.52537703280854,181.85418678829595,324.3795638211045,295.0,45.099395765644594,1540.658358056806,13.858278794859306,-59.10404225291804,0.06165635294595134,866.5366676589417,845.7257228840965,10931.00873623088,1945.7195550490965,12876.728291279976
290.0,141.41865839407438,177.71662714481988,319.13528553889427,290.0,44.901244758230504,1538.4278969471877,13.683513296107336,-59.936744449260864,0.06123444630940969,866.6997238987765,845.5919432110296,10793.158775068447,1921.1822619621837,12714.34103703063
285.0,140.30749267744767,173.58323962016436,313.89073229761203,285.0,44.69844534203078,1536.1633259963314,13.508603144956739,-60.77273683391008,0.06081282311509825,866.8650866480783,845.4593216592414,10655.194716285629,1896.6246594988418,12551.819375784471
280.0,139.19172831661237,169.45416428192945,308.6458925985418,280.0,44.49083093196709,1533.8638709008173,13.333541463637088,-61.61214274581403,0.060391434537626805,867.0328180034078,845.3278835214371,10517.111134896415,1872.0457820115619,12389.156916907978
275.0,138.07120631559556,165.32954805991022,303.4007543755058,275.0,44.27822648557069,1531.5287312909252,13.158321027919515,-62.455091510471696,0.05997022959461566,867.2029825484897,845.197654705563,10378.902332638414,1847.4446152096375,12226.346947848051
270.0,136.94576016478638,161.2095447699659,298.15530493475234,270.0,44.060447997809504,1529.1570792002417,12.982934225578541,-63.301718992063606,0.05954915477452552,867.3756474711521,845.0686616641126,10240.562305208749,1822.820090327157,12063.382395535906
265.0,135.81521480496136,157.09431614036959,292.90953094533097,265.0,43.83730181243585,1526.7480579970645,12.807373053394246,-64.15216783671215,0.059128154128818874,867.550882632586,844.9409313871973,10102.084739899461,1798.171083702104,11900.255823601565
260.0,134.67938881402375,152.984029417159,287.6634182311828,260.0,43.6085843893198,1524.3007791787713,12.63162896344845,-65.00658902395016,0.05870716760721207,867.728760798784,844.8144910837716,9963.462894360386,1773.4963951961483,11736.959289556535
255.0,133.5380788303688,148.8788737852586,282.4169526156274,255.0,43.374079241018684,1521.81433035715,12.455693509620822,-65.86513660438756,0.05828613870821692,867.9093569467351,844.6893694030365,9824.690106536551,1748.7948389635058,11573.484945500057
250.0,132.39109489476294,144.77902282337934,277.17011771814225,250.0,43.133561811443094,1519.287750565187,12.279556677107902,-66.72798227019325,0.05786499520886739,868.0927502099196,844.5655931150174,9685.758477041192,1724.0650089133321,11409.823485954525
245.0,131.23823531822825,140.68466102361276,271.92289634184095,245.0,42.886794894329476,1516.7200434899203,12.103207942890498,-67.59530676708997,0.05744366179488097,868.2790227165415,844.4431890628729,9546.659705621702,1699.3054276006626,11245.965133222364
240.0,130.07924972364864,136.59602287003173,266.67527259368035,240.0,42.633521790866816,1514.1102002785522,11.92663788756268,-68.46728501498085,0.057022078477857924,868.4682575953634,844.3221875737268,9407.38636252363,1674.514772529206,11081.901135052836
235.0,128.91391714911003,132.51330990745404,261.4272270565641,235.0,42.373478059804626,1511.4571448471909,11.749834536346137,-69.34412046630456,0.05660015888533882,868.6605433539577,844.2026143782351,9267.929002388848,1649.6913624252152,10917.620364814064
230.0,127.74197388533301,128.43676711160748,256.17874099694046,230.0,42.1063788943911,1508.7597795427012,11.572786556056247,-70.22601645359154,0.0561778269136971,868.8559699661572,844.0844970844163,9128.278685929728,1624.8336060954916,10753.11229202522
225.0,126.5631802938494,124.3666118626654,250.92979215651482,225.0,41.831929188143874,1506.016935718955,11.395480067635585,-71.11320506305506,0.05575498085323768,869.0546326890625,843.9678585260976,8988.424465747954,1599.9395549031356,10588.36402065109
220.0,125.37723864249554,120.3031209273613,245.68035956985685,220.0,41.54980872047839,1503.2274282350559,11.217902302532853,-72.00591504384634,0.05533153466184568,869.2566274251818,843.8527237472103,8848.35627038026,1575.007416127686,10423.363686507946
215.0,124.18387315241286,116.24654533394933,240.43041848636219,215.0,41.259684479903676,1500.3899947257864,11.040037758847413,-72.90440683278212,0.054907375075140055,869.4620554057225,843.7391119784073,8708.06187237663,1550.03501328304,10258.09688565967
210.0,122.98273794881524,112.19720784392142,235.17994579273665,210.0,40.96119356180533,1497.5033592532068,10.861872312533137,-73.80893642456057,0.05448240734959352,869.6710178332902,843.6270443609576,8567.530131098754,1525.0203633355784,10092.550494434332
205.0,121.77350988126979,108.15540418412905,229.92891406539886,205.0,40.653957769793514,1494.566159490624,10.683388720913369,-74.71979656229767,0.054056505633022674,869.8836215824854,843.5165347049793,8426.747446022937,1499.9610453920827,9926.70849141502
200.0,120.55583090588286,104.12146392665765,224.6772948325405,200.0,40.3375721030443,1491.5769846761978,10.504569101900364,-75.63729545774763,0.05362954055720829,870.0999760906756,843.4075940888223,8285.699712276542,1474.8545487852243,9760.554261061767
195.0,119.32931246737974,100.0957455446696,219.42505801204933,195.0,40.011603657728735,1488.5343679469288,10.325394521909768,-76.5617615500335,0.05320137472308176,870.3201941649046,843.3002299559926,8144.371995596875,1449.6982152162436,9594.070210813119
190.0,118.0935475741094,96.07862325358643,214.17217082769585,190.0,39.67559179643433,1485.4367712906164,10.145844199292643,-77.4935519177528,0.05277185425078779,870.5443937772243,843.194444915057,8002.747904021454,1424.4891269158188,9427.237030937273
185.0,116.84811386687063,92.07048337937803,208.91859724624865,185.0,39.32904650800565,1482.2825761230647,9.96589511679588,-78.43305749715326,0.05234080504434035,870.7727000701741,843.0902369717686,7860.809282208007,1399.2240522330253,9260.033334441032
180.0,115.59250555518372,88.07179637398704,203.6643019291708,180.0,38.97143280139579,1479.0701339650104,9.785525057465435,-79.38067679915596,0.05190806534340098,871.0052435904861,842.9876075141337,7718.538606066974,1373.8998718799214,9092.438477946896
175.0,114.32621749704559,84.08302707168957,198.40924456873518,175.0,38.602183000432575,1475.7976892986885,9.604708414035846,-80.33685496387281,0.05147344166483453,871.2421700983942,842.8865573692939,7575.915677329392,1348.5129905646315,8924.428667894023
170.0,113.04869663776165,80.10468598550985,193.15338262327148,170.0,38.22068354533259,1472.4634114827063,9.423418372364663,-81.30206520977013,0.05103673306702955,871.4836434712856,842.7870970384815,7432.919345776698,1323.059643548252,8755.97898932495
165.0,111.75933627418719,76.13733137408677,187.89666764827393,165.0,37.826269370146555,1469.0653879657048,9.241626970021368,-82.2768088675489,0.05059773427935113,871.7298532926412,842.6892551138368,7289.52755545398,1297.5359048708085,8587.063460324789
160.0,110.45748904329896,72.18157023312432,182.63905927642327,160.0,37.41821747288227,1465.6016153022842,9.059305165809254,-83.26161820719841,0.05015623373578695,871.9810231685442,842.5930865006649,7145.717399506818,1271.9376971122135,8417.655096619032
